Rk,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Tennessee Tech,23,12,11,.522,-9.20,-6.44,,7,5,,6,2,,5,8,,1689,1712,,925,595,1369,.435,223,630,.354,276,390,.708,210,814,355,140,65,263,316
Tennessee-Martin,23,9,14,.391,-11.10,-6.35,,5,7,,6,2,,3,11,,1761,1684,,945,596,1426,.418,226,696,.325,343,481,.713,318,921,319,192,67,305,398
Texas,23,15,8,.652,18.21,6.38,,4,6,,10,4,,3,3,,1806,1534,,920,635,1336,.475,176,479,.367,358,475,.754,225,821,314,151,100,220,388
Texas A&M,22,17,5,.773,20.58,11.40,,6,3,,10,1,,3,3,,1658,1456,,880,562,1323,.425,157,499,.315,377,550,.685,360,915,266,173,92,266,375
Texas A&M-Corpus Christi,24,15,9,.625,-0.29,-2.14,,8,4,,11,2,,4,7,,1905,1655,,960,719,1435,.501,142,406,.350,325,520,.625,277,891,380,201,91,295,438
Texas Southern,22,10,12,.455,-10.97,-4.34,,7,2,,7,2,,3,10,,1614,1663,,890,576,1360,.424,155,457,.339,307,417,.736,240,819,302,192,78,288,384
Texas State,24,12,12,.500,-3.08,-2.80,,5,7,,7,3,,3,8,,1827,1745,,970,644,1378,.467,138,370,.373,401,520,.771,269,867,343,166,98,291,427
Texas Tech,22,18,4,.818,23.45,7.54,,9,2,,12,2,,5,0,,1783,1433,,890,637,1319,.483,209,548,.381,300,394,.761,262,819,366,152,63,236,346
Texas-Rio Grande Valley,23,13,10,.565,-4.91,-2.54,,5,7,,9,3,,2,7,,1785,1674,,920,647,1461,.443,237,754,.314,254,366,.694,290,886,391,171,60,305,394
The Citadel,22,5,17,.227,-18.00,-3.39,,0,11,,5,9,,0,8,,1486,1642,,890,524,1227,.427,180,581,.310,258,428,.603,229,760,285,130,47,291,353
Toledo,22,14,8,.636,-3.88,-2.21,,8,2,,6,2,,6,5,,1741,1714,,880,624,1348,.463,135,393,.344,358,484,.740,237,782,307,117,64,213,343
Towson,23,14,9,.609,-2.35,-1.99,,9,1,,8,1,,6,4,,1559,1512,,935,565,1376,.411,163,509,.320,266,399,.667,297,843,231,155,74,220,375
Troy,23,15,8,.652,3.72,-1.47,,8,4,,10,3,,5,5,,1687,1499,,920,583,1309,.445,179,595,.301,342,480,.713,322,877,335,215,101,329,376
