Rk,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Tulsa,20,9,11,.450,-7.47,-5.47,,3,4,,7,5,,1,4,,1487,1476,,820,515,1197,.430,175,532,.329,282,422,.668,224,761,280,129,60,238,317
UAB,20,12,8,.600,3.32,-2.63,,5,2,,9,3,,2,3,,1688,1530,,805,615,1319,.466,136,405,.336,322,424,.759,294,818,332,142,74,224,316
UC Davis,20,12,8,.600,-5.24,-1.24,,6,3,,7,2,,5,6,,1388,1387,,800,459,1113,.412,120,385,.312,350,469,.746,215,688,206,162,74,276,374
UC Irvine,21,18,3,.857,10.43,-0.17,,8,1,,7,0,,8,3,,1599,1357,,850,546,1214,.450,137,406,.337,370,464,.797,199,842,336,150,73,275,326


UC Riverside,21,13,8,.619,-0.31,2.75,,6,3,,8,1,,5,7,,1535,1542,,855,550,1311,.420,183,553,.331,252,347,.726,268,798,275,108,53,244,379
UC San Diego,21,17,4,.810,11.48,-0.95,,7,2,,8,2,,6,2,,1681,1311,,840,573,1248,.459,213,618,.345,322,427,.754,207,726,320,225,41,196,358
UC Santa Barbara,20,13,7,.650,0.82,-4.29,,5,4,,8,3,,5,4,,1480,1322,,800,524,1110,.472,188,500,.376,244,325,.751,184,718,293,111,54,252,321
UCF,20,13,7,.650,11.77,10.57,,4,5,,10,2,,2,3,,1597,1573,,815,529,1256,.421,182,519,.351,357,461,.774,251,742,298,152,88,245,341
UCLA,21,15,6,.714,18.15,7.29,,6,4,,10,1,,3,3,,1594,1366,,840,572,1216,.470,146,427,.342,304,429,.709,228,687,329,180,59,241,386
UNC Asheville,21,15,6,.714,-4.19,-4.01,,6,1,,9,0,,5,6,,1777,1582,,850,641,1343,.477,173,487,.355,322,466,.691,258,770,318,160,84,220,414
UNC Greensboro,21,13,8,.619,0.36,-2.69,,6,2,,7,1,,5,5,,1557,1353,,840,541,1222,.443,211,549,.384,264,359,.735,236,783,287,132,55,217,340
UNC Wilmington,21,16,5,.762,2.26,-2.95,,6,2,,12,2,,4,3,,1683,1480,,845,572,1243,.460,158,476,.332,381,517,.737,277,840,311,135,68,232,357
UT Arlington,20,9,11,.450,-3.72,-2.83,,2,4,,5,2,,3,7,,1524,1479,,810,522,1175,.444,182,499,.365,298,419,.711,240,744,277,133,62,276,383
Utah,20,12,8,.600,11.97,5.62,,4,5,,11,3,,1,3,,1529,1402,,805,544,1178,.462,173,511,.339,268,428,.626,238,800,376,129,87,255,359
Utah State,20,18,2,.900,16.26,3.63,,8,1,,10,1,,5,1,,1654,1350,,800,585,1173,.499,184,490,.376,300,417,.719,227,704,382,183,62,224,332
Utah Tech,20,6,14,.300,-9.72,0.39,,2,3,,5,3,,0,10,,1408,1525,,800,498,1183,.421,146,455,.321,266,394,.675,214,671,269,140,51,240,356
Utah Valley,21,15,6,.714,1.18,-1.77,,7,0,,8,0,,6,5,,1604,1453,,845,578,1229,.470,122,378,.323,326,469,.695,237,807,335,147,127,262,340
UTEP,20,15,5,.750,1.22,-0.01,,5,2,,10,2,,3,2,,1468,1361,,800,505,1104,.457,154,403,.382,304,424,.717,163,584,275,220,67,246,380
UTSA,19,9,10,.474,-3.35,0.83,,3,4,,6,3,,2,7,,1507,1493,,765,516,1201,.430,191,531,.360,284,344,.826,209,626,253,185,67,216,342
Valparaiso,22,10,12,.455,-3.33,-0.63,,3,8,,8,5,,2,6,,1690,1629,,895,575,1332,.432,169,510,.331,371,477,.778,239,784,260,131,77,230,381
Vanderbilt,20,16,4,.800,16.35,4.05,,4,3,,11,1,,2,2,,1638,1392,,800,579,1248,.464,170,511,.333,310,419,.740,234,709,300,198,87,198,331
Vermont,21,11,10,.524,-10.34,-5.34,,4,2,,7,2,,3,7,,1381,1369,,840,482,1142,.422,160,502,.319,257,352,.730,186,700,256,136,89,248,298
Villanova,21,12,9,.571,13.02,4.97,,5,5,,10,2,,1,5,,1612,1443,,840,567,1200,.473,214,535,.400,264,332,.795,223,739,285,115,56,214,347
Virginia,20,9,11,.450,4.08,6.68,,2,7,,8,4,,0,5,,1237,1289,,800,440,1018,.432,160,433,.370,197,266,.741,137,609,287,104,76,219,292


Virginia Commonwealth,21,16,5,.762,12.74,0.24,,6,2,,10,0,,3,3,,1622,1327,,845,559,1275,.438,191,603,.317,313,438,.715,278,803,319,183,117,242,377
VMI,21,9,12,.429,-11.06,-4.47,,3,5,,6,3,,2,8,,1598,1514,,840,543,1247,.435,198,582,.340,314,419,.749,235,758,298,173,50,250,323
